title,image_url,price,description,tags,gold_weight,stone_weight,stone_type,category,sub_category,metal,finish,dimensions,purity
Rose Gold Flamboyant Diamond Cuff Bracelet,http://www.giva.co/cdn/shop/files/GDLBR020.40422.jpg?v=1742279573,65067,Grace your wrist with a touch of understated elegance. Perfect for those days when simplicity needs to speak volumes. This rose gold bracelet features an ...,"rose gold, diamond",,,Lab grown diamonds,Bracelets,Cuff Bracelet,Rose Gold,,Diameter: 5.74 cm,18K
Gold Celeste Diamond Cuff Bracelet,http://www.giva.co/cdn/shop/files/GDLBR036_1_21a104e4-93b9-466c-bd68-b23846cc5a54.jpg?v=1758090788,63145,"Adorned with diamonds, inspired by the perfect harmony of strength and brilliance—just like you. This gold bracelet follows an open bangle design. The en...","gold, diamond",,,Lab grown diamonds,Bracelets,Cuff Bracelet,Gold,,Diameter: 5.6 cm,14K
Gold Gorgeous Cluster Diamond Bracelet,http://www.giva.co/cdn/shop/files/GDLBR077_0.jpg?v=1729834948,29978,"Got stars in your eyes? Wear them on your wrist instead! Adorned with celestial motifs, it’s the perfect way to carry a piece of the cosmos wherever you...","gold, diamond",,,Lab grown diamonds,Bracelets,,Gold,,Length of Chain: 17.5 cm + 1 cm Adjustable,14K
Gold Butterfly Diamond Bracelet,http://www.giva.co/cdn/shop/files/GDLBR023_1.jpg?v=1728571533,36469,"This bracelet is inspired by a butterfly emerging from its cocoon, may we find joy in our journey of growth and self-discovery. This bracelet features a...","gold, diamond",,,Lab grown diamonds,Bracelets,,Gold,,"Motif Height: 0.98 cm, Width: 0.63 cm, The length of the bracelet is 18 cm with a 1.5 cm adjustable portion",14K
Gold Infinite Shine Diamond Bracelet,http://www.giva.co/cdn/shop/files/GDLBR024_1_63c97e78-6752-4914-a906-b8e658333e96.jpg?v=1756548280,19712,"Rings get all the attention, but gold bracelets are the secret showstoppers. This pure gold bracelet features an infinity motif, partially studded with ...","gold, diamond",,,Lab grown diamonds,Bracelets,,Gold,,"Motif Size: Height - 0.76 cm, Width - 2.04 cm, Length of Chain: 19 cm + 1 cm Adjustable",14K
Gold Sparkle In Infinity Diamond Bracelet,http://www.giva.co/cdn/shop/files/GDLBR076_1_a072c8ce-f10b-4023-bdf9-06492287fd7d.jpg?v=1743662685,27466,"A bracelet that says, “I came to shine and have a good time!"" This gold bracelet showcases an infinity design, with one-half adorned in sparkling lab di...","gold, diamond",,,Lab grown diamonds,Bracelets,,Gold,,"Motif Height: 0.62 cm, Width: 2.21 cm, Length of Chain: 17 cm + 1 cm Adjustable",18K
Gold Serene Love Lab Grown Diamond Bracelet,http://www.giva.co/cdn/shop/files/GDLBR021_1.jpg?v=1742480900,25635,Inspired by the depths of a loving heart that knows no bounds. This tennis bracelet makes the perfect anniversary present! This pure gold bracelet for w...,"gold, diamond",,,Lab grown diamonds,Bracelets,,Gold,,"Motif Height: 0.15 cm, Width: 4.5 cm, Length of Chain: 18 cm + 1 cm Adjustable",14K
Gold Solbloom Lab Grown Diamond Bangle Bracelet,http://www.giva.co/cdn/shop/files/GDLBR081_1.jpg?v=1755171109,35320,Like blossoms after winter; wear it to celebrate your quiet growth. Try the exquisite lab grown diamond jewellery from Heer By GIVA today. This gold ban...,"gold, diamond",,,SGL/IGL Certified Lab grown diamonds,Bracelets,Bangle,Gold,,Diameter: 6.1 cm,14K
Gold Ember Diamond Bracelet,http://www.giva.co/cdn/shop/files/GDLBR073_1.jpg?v=1729834912,22940,"Bring on the bling with a piece that says, “I’m too cool for ordinary!”—turn up the style! This pure gold bracelet features a teardrop-shaped motif set...","gold, diamond",,,Lab grown diamonds,Bracelets,,Gold,,"Diameter: 0.76 cm x 1.75 cm, Length of Chain: 17.5 cm + 1.2 cm Adjustable",18K
Gold Endless Circle Diamond Bracelet,http://www.giva.co/cdn/shop/files/GDLBR054_1_c434140f-6607-4320-beb9-2b8b5ad23955.jpg?v=1732803544,20176,"Nothing says “I’ve arrived” like a gold bracelet casually chilling on your wrist. This pure gold bracelet features a circle motif, adorned with lab-grow...","gold, diamond",,,Lab grown diamonds,Bracelets,,Gold,,"Charm: 0.4 cm x 0.95 cm, Length of Chain: 19 cm + 1 cm Adjustable",14K
Gold Joyful Butterfly Diamond Bracelet,http://www.giva.co/cdn/shop/files/GDLBR010_1.jpg?v=1691077686,28240,"The Gold Joyful Butterfly Diamond Bracelet is inspired by a butterfly emerging from its cocoon, may we find joy in our journey of growth and self-discov...","gold, diamond",,,Lab grown diamonds,Bracelets,,Gold,,"Motif Height: 0.6 cm, Width: 1 cm, The length of the bracelet is 17 cm with a 1 cm adjustable portion",14K
Gold The Leaf Diamond Bracelet,http://www.giva.co/cdn/shop/files/GDLBR047_1.jpg?v=1732803853,27211,A gold bracelet isn’t just jewellery; it’s a mic-drop moment for your outfit. This pure gold bracelet features a triple oval design with a leaf motif i...,"gold, diamond",,,Lab grown diamonds,Bracelets,,Gold,,"Motif Height: 0.73 cm, Width: 3 cm, Length of Chain: 19 cm + 1 cm Adjustable",18K
Gold Love's Haven Diamond Bracelet,http://www.giva.co/cdn/shop/files/GDLBR02_3.jpg?v=1725264683,20206,The Gold Love's Haven Diamond Bracelet is inspired by the warm feeling of 'finding home' when we meet a special person in our life. This bracelet featu...,"gold, diamond",,,Lab grown diamonds,Bracelets,,Gold,,"Motif Height 1: 1.2 cm, Width: 1.7 cm, Motif Height 2: 1.09 cm, Width: 0.83 cm, The length of the bracelet is 17 cm with a 1.5 cm adjustable portion",14K
Rose Gold Alhambra Lab Grown Diamond Bangle,http://www.giva.co/cdn/shop/files/GDLBR083_1.jpg?v=1739448539,52804,"With every loop, the sparkle grows stronger. Get ready for a wristful of charm! This pure rose gold bangle for women features an intricate flower motif...","rose gold, diamond",,,Lab grown diamonds,Bracelets,Bangle,Rose Gold,,Diameter: 6.05 cm,14K
Rose Gold Eterna Diamond Bracelet,http://www.giva.co/cdn/shop/files/GDLBR069_1.jpg?v=1735538774,41924,"Because who doesn't love a little extra bling? Shine on, you dazzling diva! This pure rose gold bracelet features an infinity motif with two gold beads...","rose gold, diamond",,,Lab grown diamonds,Bracelets,,Rose Gold,,"Motif Height: 1.85 cm, Width: 0.62 cm, Length of Chain: 16 cm + 1.5 cm Adjustable",14K
Gold Eternal Petal Diamond Bangle,http://www.giva.co/cdn/shop/files/GDLBR0103_1.jpg?v=1749740610,61033,Let this stunning bracelet remind you of your own perpetual beauty. Wear this and channel the grace and beauty to every room you step into. Discover exq...,"gold, diamond",,,SGL/IGL Certified Lab grown diamonds,Bracelets,Bangle,Gold,,Diameter: 6.51 cm,14K
Silver Sparkling Shine Hoop Earrings,http://www.giva.co/cdn/shop/files/ER0425_5_5b286859-aaa7-4a58-a079-76f45ac85264.jpg?v=1742393293,2499,"Sparkle? Check. Shine? Check. Spotlight? Double Check! DIVA, we don’t need to say much. These Silver Sparkling Shine Hoop Earrings do their own talking...",silver,,,AAA+ Quality Zircons,Earrings,Hoop Earrings,Silver,,,925 Sterling silver
Silver Soulmate Necklace,http://www.giva.co/cdn/shop/files/PD02330_5_20a65b3d-76de-47a4-9f5c-8a801051dc22.jpg?v=1742394386,2699,"Here's a tangible representation of your profound love. Present this charming necklace to celebrate your soulmate for their simple, enigmatic elegance....",silver,,,Zircons,Necklaces,,Silver,,"Length of Chain: 45.5 cm + 5 cm Adjustable, Motif Height: 2.2 cm, Width: 2 cm",925 Silver
Silver Zircon Sparkle Drop Earrings,http://www.giva.co/cdn/shop/products/ER0276_1_2.jpg?v=1670825361,1999,Our GIVA DIVA shines the brightest and enlightens everyone around her. This is just one of her various talents that leaves us spellbound. Inspired by t...,silver zircon,,,AAA+ Quality Zircons,Earrings,Drop Earrings,Silver,,,925 Sterling silver
Silver Classic Solitaire Ring,http://www.giva.co/cdn/shop/files/R042_1.jpg?v=1712926930,3199,"A sparkle never fails to impress. This ring exudes brilliance, drawing the eye with its captivating sparkle. It'll be your versatile choice and can be ...",silver,,,Zircons,Rings,Solitaire Ring,Silver,,Ring Diameter: 1.56 cm + Adjustable,925 Silver
Golden Mini Hoop Earrings,http://www.giva.co/cdn/shop/products/ER0434_1.jpg?v=1625833204,2099,"Remember when we wore those good old ‘baaliya’ after our first piercing? These Golden Mini Hoop Earrings are those, but better! Time to walk down memor...",golden,,,,Earrings,Hoop Earrings,Gold Plated,,,18K Gold plating
Silver Sparkling Shine Hoop Earrings,http://www.giva.co/cdn/shop/files/ER0425_5_5b286859-aaa7-4a58-a079-76f45ac85264.jpg?v=1742393293,2499,"Sparkle? Check. Shine? Check. Spotlight? Double Check! DIVA, we don’t need to say much. These Silver Sparkling Shine Hoop Earrings do their own talking...",silver,,,AAA+ Quality Zircons,Earrings,Hoop Earrings,Silver,,,925 Sterling silver
Silver Soulmate Necklace,http://www.giva.co/cdn/shop/files/PD02330_5_20a65b3d-76de-47a4-9f5c-8a801051dc22.jpg?v=1742394386,2699,"Here's a tangible representation of your profound love. Present this charming necklace to celebrate your soulmate for their simple, enigmatic elegance....",silver,,,Zircons,Necklaces,,Silver,,"Length of Chain: 45.5 cm + 5 cm Adjustable, Motif Height: 2.2 cm, Width: 2 cm",925 Silver
Silver Zircon Sparkle Drop Earrings,http://www.giva.co/cdn/shop/products/ER0276_1_2.jpg?v=1670825361,1999,Our GIVA DIVA shines the brightest and enlightens everyone around her. This is just one of her various talents that leaves us spellbound. Inspired by t...,"silver, zircon",,,AAA+ Quality Zircons,Earrings,Drop Earrings,Silver,,,925 Sterling silver
Silver Classic Solitaire Ring,http://www.giva.co/cdn/shop/files/R042_1.jpg?v=1712926930,3199,"A sparkle never fails to impress. This ring exudes brilliance, drawing the eye with its captivating sparkle. It'll be your versatile choice and can be ...",silver,,,Zircons,Rings,Solitaire Ring,Silver,,Ring Diameter: 1.56 cm + Adjustable,925 Silver
Golden Mini Hoop Earrings,http://www.giva.co/cdn/shop/products/ER0434_1.jpg?v=1625833204,2099,"Remember when we wore those good old ‘baaliya’ after our first piercing? These Golden Mini Hoop Earrings are those, but better! Time to walk down memor...",golden,,,,Earrings,Hoop Earrings,Gold Plated,,,18K Gold plating
Silver Sparkly Elegant Tennis Bracelet,http://www.giva.co/cdn/shop/products/BR0488_1-min.jpg?v=1662036034,5999,The Silver Sparkly Elegant Tennis Bracelet is inspired by the disco ball that was popular in the 90s. The silver bracelet has zircons placed throughout...,silver,,,Zircons,Bracelets,Tennis Bracelet,Silver,,Length of bracelet is 18 cm,925 Silver
